Timestamp,Value (L/s)
07-Feb-21 1:30:00 AM CET,0
07-Feb-21 1:45:01 AM CET,0
07-Feb-21 2:00:00 AM CET,0
07-Feb-21 2:15:00 AM CET,0
07-Feb-21 2:30:01 AM CET,0
07-Feb-21 2:45:00 AM CET,0
07-Feb-21 3:00:00 AM CET,0
07-Feb-21 3:15:00 AM CET,0
07-Feb-21 3:30:00 AM CET,0
07-Feb-21 3:45:00 AM CET,0
07-Feb-21 4:00:00 AM CET,0
07-Feb-21 4:15:00 AM CET,0
07-Feb-21 4:30:00 AM CET,0
07-Feb-21 4:45:00 AM CET,0
07-Feb-21 5:00:00 AM CET,0
07-Feb-21 5:15:00 AM CET,0
07-Feb-21 5:30:00 AM CET,0
07-Feb-21 5:45:00 AM CET,0
07-Feb-21 6:00:00 AM CET,0
07-Feb-21 6:15:00 AM CET,0
07-Feb-21 6:30:00 AM CET,0
07-Feb-21 6:45:01 AM CET,0
07-Feb-21 7:00:01 AM CET,0
07-Feb-21 7:15:00 AM CET,0
07-Feb-21 7:30:00 AM CET,0
07-Feb-21 7:45:00 AM CET,0
07-Feb-21 8:00:00 AM CET,0
07-Feb-21 8:15:00 AM CET,0
07-Feb-21 8:30:00 AM CET,0
07-Feb-21 8:45:00 AM CET,0
07-Feb-21 9:00:00 AM CET,0
07-Feb-21 9:15:00 AM CET,0
07-Feb-21 9:30:00 AM CET,0
07-Feb-21 9:45:00 AM CET,0
07-Feb-21 10:00:00 AM CET,0
07-Feb-21 10:15:00 AM CET,0
07-Feb-21 10:30:00 AM CET,0
07-Feb-21 10:45:00 AM CET,0
07-Feb-21 11:00:00 AM CET,0
07-Feb-21 11:15:00 AM CET,0
07-Feb-21 11:30:01 AM CET,0
07-Feb-21 11:45:00 AM CET,0
07-Feb-21 12:00:00 PM CET,0
07-Feb-21 12:15:00 PM CET,0
07-Feb-21 12:30:00 PM CET,2664
07-Feb-21 12:45:00 PM CET,2252
07-Feb-21 1:00:00 PM CET,1926
07-Feb-21 1:15:00 PM CET,1794
07-Feb-21 1:30:00 PM CET,1908
07-Feb-21 1:45:00 PM CET,1893
07-Feb-21 2:00:00 PM CET,1957
07-Feb-21 2:15:00 PM CET,0
07-Feb-21 2:30:00 PM CET,0
07-Feb-21 2:45:00 PM CET,0
07-Feb-21 3:00:01 PM CET,0
07-Feb-21 3:15:00 PM CET,0
07-Feb-21 3:30:00 PM CET,0
07-Feb-21 3:45:00 PM CET,0
07-Feb-21 4:00:00 PM CET,0
07-Feb-21 4:15:00 PM CET,0
07-Feb-21 4:30:00 PM CET,0
07-Feb-21 4:45:00 PM CET,0
07-Feb-21 5:00:00 PM CET,0
07-Feb-21 5:15:00 PM CET,0
07-Feb-21 5:30:01 PM CET,0
07-Feb-21 5:45:00 PM CET,0
07-Feb-21 6:00:00 PM CET,0
07-Feb-21 6:15:00 PM CET,0
07-Feb-21 6:30:00 PM CET,0
07-Feb-21 6:45:00 PM CET,0
07-Feb-21 7:00:00 PM CET,0
07-Feb-21 7:15:00 PM CET,0
07-Feb-21 7:30:00 PM CET,0
07-Feb-21 7:45:00 PM CET,0
07-Feb-21 8:00:00 PM CET,0
07-Feb-21 8:15:01 PM CET,0
07-Feb-21 8:30:00 PM CET,0
07-Feb-21 8:45:00 PM CET,0
07-Feb-21 9:00:00 PM CET,0
07-Feb-21 9:15:00 PM CET,0
07-Feb-21 9:30:00 PM CET,0
07-Feb-21 9:45:00 PM CET,0
07-Feb-21 10:00:00 PM CET,0
07-Feb-21 10:15:00 PM CET,0
07-Feb-21 10:30:00 PM CET,0
07-Feb-21 10:45:00 PM CET,0
07-Feb-21 11:00:00 PM CET,0
07-Feb-21 11:15:00 PM CET,0
07-Feb-21 11:30:00 PM CET,0
07-Feb-21 11:45:00 PM CET,0
08-Feb-21 12:00:01 AM CET,0
08-Feb-21 12:15:00 AM CET,0
08-Feb-21 12:30:00 AM CET,0
08-Feb-21 12:45:00 AM CET,0
08-Feb-21 1:00:00 AM CET,0
08-Feb-21 1:15:00 AM CET,0
08-Feb-21 1:30:00 AM CET,0
08-Feb-21 1:45:00 AM CET,0
08-Feb-21 2:00:00 AM CET,0
08-Feb-21 2:15:00 AM CET,0
08-Feb-21 2:30:00 AM CET,0
08-Feb-21 2:45:00 AM CET,0
08-Feb-21 3:00:01 AM CET,0
08-Feb-21 3:15:00 AM CET,0
08-Feb-21 3:30:00 AM CET,0
08-Feb-21 3:45:01 AM CET,0
08-Feb-21 4:00:00 AM CET,0
08-Feb-21 4:15:00 AM CET,0
08-Feb-21 4:30:00 AM CET,0
08-Feb-21 4:45:00 AM CET,0
08-Feb-21 5:00:00 AM CET,0
08-Feb-21 5:15:00 AM CET,0
08-Feb-21 5:30:00 AM CET,0
08-Feb-21 5:45:00 AM CET,0
08-Feb-21 6:00:00 AM CET,0
08-Feb-21 6:15:00 AM CET,0
08-Feb-21 6:30:00 AM CET,2878
08-Feb-21 6:45:00 AM CET,2226
08-Feb-21 7:00:00 AM CET,2046
08-Feb-21 7:15:00 AM CET,2008
08-Feb-21 7:30:00 AM CET,2016
08-Feb-21 7:45:00 AM CET,2077
08-Feb-21 8:00:00 AM CET,2196
08-Feb-21 8:15:01 AM CET,2257
08-Feb-21 8:30:00 AM CET,2289
08-Feb-21 8:45:00 AM CET,2234
08-Feb-21 9:00:00 AM CET,2253
08-Feb-21 9:15:00 AM CET,2206
08-Feb-21 9:30:00 AM CET,2204
08-Feb-21 9:45:00 AM CET,2183
08-Feb-21 10:00:01 AM CET,2145
08-Feb-21 10:15:00 AM CET,2286
08-Feb-21 10:30:00 AM CET,2264
08-Feb-21 10:45:00 AM CET,2338
08-Feb-21 11:00:00 AM CET,2204
08-Feb-21 11:15:00 AM CET,2189
08-Feb-21 11:30:00 AM CET,2117
08-Feb-21 11:45:00 AM CET,2213
08-Feb-21 12:00:00 PM CET,2249
08-Feb-21 12:15:00 PM CET,2324
08-Feb-21 12:30:00 PM CET,2321
08-Feb-21 12:45:00 PM CET,2394
08-Feb-21 1:00:00 PM CET,2326
08-Feb-21 1:15:00 PM CET,2439
08-Feb-21 1:30:00 PM CET,2447
08-Feb-21 1:45:00 PM CET,2262
08-Feb-21 2:00:00 PM CET,2292
08-Feb-21 2:15:00 PM CET,2430
08-Feb-21 2:30:00 PM CET,2414
08-Feb-21 2:45:00 PM CET,2299
08-Feb-21 3:00:00 PM CET,2285
08-Feb-21 3:15:00 PM CET,2225
08-Feb-21 3:30:00 PM CET,2202
08-Feb-21 3:45:00 PM CET,2123
08-Feb-21 4:00:00 PM CET,2061
08-Feb-21 4:15:00 PM CET,2159
08-Feb-21 4:30:00 PM CET,2126
08-Feb-21 4:45:00 PM CET,2125
08-Feb-21 5:00:00 PM CET,2102
08-Feb-21 5:15:01 PM CET,2155
08-Feb-21 5:30:00 PM CET,2062
08-Feb-21 5:45:00 PM CET,1841
08-Feb-21 6:00:00 PM CET,1891
08-Feb-21 6:15:00 PM CET,1892
08-Feb-21 6:30:00 PM CET,1856
08-Feb-21 6:45:00 PM CET,1908
08-Feb-21 7:00:01 PM CET,1936
08-Feb-21 7:15:00 PM CET,1887
08-Feb-21 7:30:00 PM CET,1858
08-Feb-21 7:45:00 PM CET,1919
08-Feb-21 8:00:00 PM CET,1797
08-Feb-21 8:15:00 PM CET,1913
08-Feb-21 8:30:00 PM CET,2040
08-Feb-21 8:45:00 PM CET,1890
08-Feb-21 9:00:00 PM CET,1894
08-Feb-21 9:15:00 PM CET,1890
08-Feb-21 9:30:00 PM CET,1922
08-Feb-21 9:45:00 PM CET,0
08-Feb-21 10:00:00 PM CET,0
08-Feb-21 10:15:00 PM CET,0
08-Feb-21 10:30:00 PM CET,0
08-Feb-21 10:45:00 PM CET,0
08-Feb-21 11:00:01 PM CET,0
08-Feb-21 11:15:00 PM CET,0
08-Feb-21 11:30:00 PM CET,0
08-Feb-21 11:45:00 PM CET,0
09-Feb-21 12:00:00 AM CET,0
09-Feb-21 12:15:01 AM CET,0
09-Feb-21 12:30:00 AM CET,0
09-Feb-21 12:45:00 AM CET,0
09-Feb-21 1:00:00 AM CET,0
09-Feb-21 1:15:00 AM CET,0
09-Feb-21 1:30:00 AM CET,0
09-Feb-21 1:45:00 AM CET,0
09-Feb-21 2:00:00 AM CET,0
09-Feb-21 2:15:01 AM CET,0
09-Feb-21 2:30:00 AM CET,0
09-Feb-21 2:45:00 AM CET,0
09-Feb-21 3:00:00 AM CET,0
09-Feb-21 3:15:00 AM CET,0
09-Feb-21 3:30:00 AM CET,0
09-Feb-21 3:45:00 AM CET,0
09-Feb-21 4:00:00 AM CET,0
09-Feb-21 4:15:00 AM CET,0
09-Feb-21 4:30:00 AM CET,0
09-Feb-21 4:45:00 AM CET,0
09-Feb-21 5:00:01 AM CET,0
09-Feb-21 5:15:00 AM CET,0
09-Feb-21 5:30:00 AM CET,0
09-Feb-21 5:45:00 AM CET,0
09-Feb-21 6:00:00 AM CET,0
09-Feb-21 6:15:01 AM CET,0
09-Feb-21 6:30:00 AM CET,0
09-Feb-21 6:45:00 AM CET,0
09-Feb-21 7:00:00 AM CET,2812
09-Feb-21 7:15:00 AM CET,2424
09-Feb-21 7:30:00 AM CET,1958
09-Feb-21 7:45:00 AM CET,2062
09-Feb-21 8:00:01 AM CET,2103
09-Feb-21 8:15:00 AM CET,2108
09-Feb-21 8:30:00 AM CET,2199
09-Feb-21 8:45:00 AM CET,2239
09-Feb-21 9:00:01 AM CET,2248
09-Feb-21 9:15:00 AM CET,2220
