Timestamp,Value
08-Feb-21 11:15:00 AM CET,23
08-Feb-21 11:30:00 AM CET,14
08-Feb-21 11:45:00 AM CET,11
08-Feb-21 12:00:00 PM CET,35
08-Feb-21 12:15:00 PM CET,37
08-Feb-21 12:30:00 PM CET,33
08-Feb-21 12:45:00 PM CET,22
08-Feb-21 1:00:00 PM CET,32
08-Feb-21 1:15:00 PM CET,30
08-Feb-21 1:30:00 PM CET,30
08-Feb-21 1:45:00 PM CET,26
08-Feb-21 2:00:00 PM CET,29
08-Feb-21 2:15:00 PM CET,34
08-Feb-21 2:30:00 PM CET,35
08-Feb-21 2:45:00 PM CET,32
08-Feb-21 3:00:00 PM CET,24
08-Feb-21 3:15:00 PM CET,20
08-Feb-21 3:30:00 PM CET,14
08-Feb-21 3:45:00 PM CET,17
08-Feb-21 4:00:00 PM CET,7
08-Feb-21 4:15:00 PM CET,2
08-Feb-21 4:30:00 PM CET,1
08-Feb-21 4:45:00 PM CET,3
08-Feb-21 5:00:00 PM CET,0
08-Feb-21 5:15:01 PM CET,2
08-Feb-21 5:30:00 PM CET,0
08-Feb-21 5:45:00 PM CET,4
08-Feb-21 6:00:00 PM CET,3
08-Feb-21 6:15:00 PM CET,2
08-Feb-21 6:30:00 PM CET,0
08-Feb-21 6:45:00 PM CET,2
08-Feb-21 7:00:01 PM CET,3
08-Feb-21 7:15:00 PM CET,0
08-Feb-21 7:30:00 PM CET,2
08-Feb-21 7:45:00 PM CET,0
08-Feb-21 8:00:00 PM CET,0
08-Feb-21 8:15:00 PM CET,0
08-Feb-21 8:30:00 PM CET,4
08-Feb-21 8:45:00 PM CET,0
08-Feb-21 9:00:00 PM CET,0
08-Feb-21 9:15:00 PM CET,0
08-Feb-21 9:30:00 PM CET,0
08-Feb-21 9:45:00 PM CET,0
08-Feb-21 10:00:00 PM CET,0
08-Feb-21 10:15:00 PM CET,0
08-Feb-21 10:30:00 PM CET,0
08-Feb-21 10:45:00 PM CET,0
08-Feb-21 11:00:01 PM CET,0
08-Feb-21 11:15:00 PM CET,0
08-Feb-21 11:30:00 PM CET,0
08-Feb-21 11:45:00 PM CET,0
09-Feb-21 12:00:00 AM CET,0
09-Feb-21 12:15:01 AM CET,0
09-Feb-21 12:30:00 AM CET,0
09-Feb-21 12:45:00 AM CET,0
09-Feb-21 1:00:00 AM CET,0
09-Feb-21 1:15:00 AM CET,0
09-Feb-21 1:30:00 AM CET,1
09-Feb-21 1:45:00 AM CET,0
09-Feb-21 2:00:00 AM CET,0
09-Feb-21 2:15:01 AM CET,0
09-Feb-21 2:30:00 AM CET,0
09-Feb-21 2:45:00 AM CET,0
09-Feb-21 3:00:00 AM CET,0
09-Feb-21 3:15:00 AM CET,0
09-Feb-21 3:30:00 AM CET,0
09-Feb-21 3:45:00 AM CET,0
09-Feb-21 4:00:00 AM CET,0
09-Feb-21 4:15:00 AM CET,0
09-Feb-21 4:30:00 AM CET,0
09-Feb-21 4:45:00 AM CET,0
09-Feb-21 5:00:01 AM CET,0
09-Feb-21 5:15:00 AM CET,0
09-Feb-21 5:30:00 AM CET,0
09-Feb-21 5:45:00 AM CET,0
09-Feb-21 6:00:00 AM CET,0
09-Feb-21 6:15:01 AM CET,0
09-Feb-21 6:30:00 AM CET,0
09-Feb-21 6:45:00 AM CET,0
09-Feb-21 7:00:00 AM CET,7
09-Feb-21 7:15:00 AM CET,26
09-Feb-21 7:30:00 AM CET,8
09-Feb-21 7:45:00 AM CET,22
09-Feb-21 8:00:01 AM CET,15
09-Feb-21 8:15:00 AM CET,19
09-Feb-21 8:30:00 AM CET,29
09-Feb-21 8:45:00 AM CET,20
09-Feb-21 9:00:01 AM CET,34
09-Feb-21 9:15:00 AM CET,26
09-Feb-21 9:30:00 AM CET,31
09-Feb-21 9:45:00 AM CET,32
09-Feb-21 10:00:00 AM CET,27
09-Feb-21 10:15:00 AM CET,29
09-Feb-21 10:30:00 AM CET,27
09-Feb-21 10:45:00 AM CET,16
09-Feb-21 11:00:00 AM CET,33
09-Feb-21 11:15:00 AM CET,25
09-Feb-21 11:30:00 AM CET,22
09-Feb-21 11:45:00 AM CET,23
09-Feb-21 12:00:00 PM CET,33
09-Feb-21 12:15:00 PM CET,31
09-Feb-21 12:30:00 PM CET,29
09-Feb-21 12:45:01 PM CET,40
09-Feb-21 1:00:00 PM CET,38
09-Feb-21 1:15:00 PM CET,26
09-Feb-21 1:30:00 PM CET,29
09-Feb-21 1:45:00 PM CET,20
09-Feb-21 2:00:00 PM CET,27
09-Feb-21 2:15:01 PM CET,32
09-Feb-21 2:30:00 PM CET,26
09-Feb-21 2:45:00 PM CET,24
09-Feb-21 3:00:00 PM CET,21
09-Feb-21 3:15:00 PM CET,18
09-Feb-21 3:30:00 PM CET,10
09-Feb-21 3:45:00 PM CET,12
09-Feb-21 4:00:00 PM CET,20
09-Feb-21 4:15:00 PM CET,4
09-Feb-21 4:30:00 PM CET,11
09-Feb-21 4:45:00 PM CET,13
09-Feb-21 5:00:00 PM CET,4
09-Feb-21 5:15:00 PM CET,1
09-Feb-21 5:30:00 PM CET,4
09-Feb-21 5:45:00 PM CET,6
09-Feb-21 6:00:00 PM CET,2
09-Feb-21 6:15:01 PM CET,6
09-Feb-21 6:30:00 PM CET,5
09-Feb-21 6:45:00 PM CET,2
09-Feb-21 7:00:00 PM CET,5
09-Feb-21 7:15:00 PM CET,1
09-Feb-21 7:30:00 PM CET,0
09-Feb-21 7:45:00 PM CET,0
09-Feb-21 8:00:00 PM CET,0
09-Feb-21 8:15:00 PM CET,0
09-Feb-21 8:30:01 PM CET,0
09-Feb-21 8:45:00 PM CET,0
09-Feb-21 9:00:00 PM CET,0
09-Feb-21 9:15:00 PM CET,0
09-Feb-21 9:30:00 PM CET,0
09-Feb-21 9:45:00 PM CET,0
09-Feb-21 10:00:00 PM CET,0
09-Feb-21 10:15:00 PM CET,0
09-Feb-21 10:30:00 PM CET,0
09-Feb-21 10:45:00 PM CET,0
09-Feb-21 11:00:00 PM CET,0
09-Feb-21 11:15:01 PM CET,0
09-Feb-21 11:30:00 PM CET,0
09-Feb-21 11:45:01 PM CET,0
10-Feb-21 12:00:00 AM CET,0
10-Feb-21 12:15:00 AM CET,0
10-Feb-21 12:30:01 AM CET,0
10-Feb-21 12:45:00 AM CET,0
10-Feb-21 1:00:00 AM CET,0
10-Feb-21 1:15:01 AM CET,0
10-Feb-21 1:30:00 AM CET,0
10-Feb-21 1:45:00 AM CET,0
10-Feb-21 2:00:00 AM CET,0
10-Feb-21 2:15:01 AM CET,0
10-Feb-21 2:30:00 AM CET,0
10-Feb-21 2:45:00 AM CET,0
10-Feb-21 3:00:00 AM CET,0
10-Feb-21 3:15:00 AM CET,0
10-Feb-21 3:30:00 AM CET,0
10-Feb-21 3:45:00 AM CET,0
10-Feb-21 4:00:00 AM CET,0
10-Feb-21 4:15:00 AM CET,0
10-Feb-21 4:30:00 AM CET,0
10-Feb-21 4:45:00 AM CET,0
10-Feb-21 5:00:00 AM CET,0
10-Feb-21 5:15:00 AM CET,0
10-Feb-21 5:30:00 AM CET,0
10-Feb-21 5:45:00 AM CET,0
10-Feb-21 6:00:00 AM CET,0
10-Feb-21 6:15:01 AM CET,0
10-Feb-21 6:30:00 AM CET,2
10-Feb-21 6:45:00 AM CET,2
10-Feb-21 7:00:00 AM CET,11
10-Feb-21 7:15:00 AM CET,20
10-Feb-21 7:30:00 AM CET,15
10-Feb-21 7:45:00 AM CET,19
10-Feb-21 8:00:00 AM CET,27
10-Feb-21 8:15:00 AM CET,22
10-Feb-21 8:30:00 AM CET,25
10-Feb-21 8:45:00 AM CET,25
10-Feb-21 9:00:00 AM CET,38
10-Feb-21 9:15:00 AM CET,29
